text,label
show trend of negative cases,trend
billing trend for Aspirin,trend
average billing amount by hospital,aggregate
compare B- patients grouped by admission type,compare
find all diabetes patients,filter
average billing amount by insurance provider,aggregate
average age grouped by medical condition,aggregate
patients diagnosed with flu,filter
compare patients with UnitedHealth based on hospital,compare
show Ibuprofen patients,filter
compare AB+ patients based on admission type,compare
patients diagnosed with Metformin,filter
show trend of UnitedHealth cases,trend
compare Aetna patients grouped by medication,compare
show asthma patients,filter
show patients with Ibuprofen,filter
trend of patient admissions,trend
compare A+ patients grouped by medical condition,compare
billing trend for arthritis,trend
compare Aetna patients grouped by insurance provider,compare
how many arthritis patients,count
list Ibuprofen cases,filter
compare patients with asthma based on medication,compare
count female cases,count
compare patients with routine based on admission type,compare
count A- cases,count
count referral cases,count
compare patients with Ibuprofen based on insurance provider,compare
trend of patient admissions,trend
compare routine patients based on their test result,compare
number of A+ patients,count
count asthma cases,count
show patients with Insulin,filter
find all referral patients,filter
compare flu patients based on their medical condition,compare
how many O+ patients,count
average billing amount by insurance provider,aggregate
show average billing for medical condition patients,aggregate
patients diagnosed with positive,filter
compare Aspirin patients based on their insurance provider,compare
compare female patients based on their medication,compare
list A+ cases,filter
compare female patients based on their admission type,compare
show AB- patients,filter
average age grouped by medication,aggregate
compare Metformin cases by insurance provider,compare
list Metformin cases,filter
billing trend for A+,trend
average billing amount by admission type,aggregate
average billing amount by hospital,aggregate
show patients with asthma,filter
show Insulin patients,filter
count Insulin cases,count
show average billing for admission type patients,aggregate
trend of patient admissions,trend
average billing amount by admission type,aggregate
show average billing for medication patients,aggregate
show A- patients,filter
compare A+ patients based on their blood type,compare
show average billing for test result patients,aggregate
find all A- patients,filter
show average billing for insurance provider patients,aggregate
average billing amount by admission type,aggregate
show trend of Blue Cross cases,trend
patients diagnosed with positive,filter
count emergency cases,count
patients diagnosed with AB+,filter
average age grouped by medication,aggregate
billing trend for A+,trend
show average billing for medical condition patients,aggregate
show trend of asthma cases,trend
billing trend for A-,trend
patients diagnosed with O-,filter
patients diagnosed with A-,filter
compare referral patients based on insurance provider,compare
how many female patients,count
compare Blue Cross patients based on their blood type,compare
billing trend for AB+,trend
show patients with Metformin,filter
average age grouped by gender,aggregate
compare patients with arthritis based on medication,compare
show A- patients,filter
number of male patients,count
number of female patients,count
show average billing for medication patients,aggregate
trend of patient admissions,trend
show average billing for medication patients,aggregate
compare A+ patients based on blood type,compare
compare Aetna cases by medical condition,compare
average age grouped by gender,aggregate
number of covid patients,count
show trend of covid cases,trend
patients diagnosed with asthma,filter
average age grouped by gender,aggregate
compare patients with A+ based on hospital,compare
show routine patients,filter
billing trend for Aspirin,trend
compare Metformin patients based on their blood type,compare
number of covid patients,count
number of Blue Cross patients,count
number of diabetes patients,count
show average billing for blood type patients,aggregate
average billing amount by test result,aggregate
number of UnitedHealth patients,count
list arthritis cases,filter
how many referral patients,count
how many male patients,count
average age grouped by admission type,aggregate
find all emergency patients,filter
count emergency cases,count
average billing amount by blood type,aggregate
compare hypertension patients based on medical condition,compare
show trend of covid cases,trend
show trend of asthma cases,trend
count asthma cases,count
trend of patient admissions,trend
how many Cigna patients,count
show average billing for insurance provider patients,aggregate
average age grouped by insurance provider,aggregate
how many routine patients,count
billing trend for O-,trend
compare Cigna patients grouped by hospital,compare
show routine patients,filter
compare Insulin cases by medical condition,compare
show average billing for gender patients,aggregate
show trend of arthritis cases,trend
show average billing for hospital patients,aggregate
billing trend for diabetes,trend
show average billing for blood type patients,aggregate
compare B- patients based on medication,compare
show patients with male,filter
average billing amount by gender,aggregate
billing trend for AB+,trend
billing trend for O+,trend
number of asthma patients,count
compare Aetna patients based on test result,compare
billing trend for routine,trend
billing trend for Aetna,trend
show trend of routine cases,trend
show average billing for medical condition patients,aggregate
how many emergency patients,count
list routine cases,filter
patients diagnosed with O-,filter
list Insulin cases,filter
billing trend for Aspirin,trend
count emergency cases,count
show patients with Insulin,filter
number of UnitedHealth patients,count
compare patients with AB- based on blood type,compare
trend of patient admissions,trend
number of emergency patients,count
how many referral patients,count
how many AB+ patients,count
compare O+ patients based on their gender,compare
average billing amount by test result,aggregate
number of routine patients,count
count referral cases,count
show trend of routine cases,trend
how many covid patients,count
compare covid patients based on their medication,compare
number of routine patients,count
billing trend for positive,trend
compare female cases by medical condition,compare
find all O- patients,filter
compare patients with asthma based on admission type,compare
show average billing for medication patients,aggregate
show trend of covid cases,trend
trend of patient admissions,trend
compare patients with routine based on admission type,compare
average age grouped by blood type,aggregate
compare male patients based on their blood type,compare
billing trend for UnitedHealth,trend
compare male patients based on their insurance provider,compare
compare negative cases by medical condition,compare
trend of patient admissions,trend
number of routine patients,count
compare AB- patients based on their insurance provider,compare
how many negative patients,count
number of A- patients,count
number of Metformin patients,count
trend of patient admissions,trend
compare Blue Cross patients based on gender,compare
average billing amount by medical condition,aggregate
compare Ibuprofen patients grouped by gender,compare
compare O- cases by gender,compare
list positive cases,filter
average age grouped by medication,aggregate
show patients with hypertension,filter
trend of patient admissions,trend
billing trend for arthritis,trend
billing trend for female,trend
show trend of negative cases,trend
patients diagnosed with hypertension,filter
compare female patients based on their test result,compare
patients diagnosed with Metformin,filter
compare AB- patients based on blood type,compare
show patients with male,filter
show trend of Cigna cases,trend
show average billing for medication patients,aggregate
show Aetna patients,filter
how many O- patients,count
billing trend for covid,trend
billing trend for asthma,trend
how many Aetna patients,count
how many flu patients,count
show patients with B+,filter
count hypertension cases,count
average age grouped by medication,aggregate
compare A+ cases by insurance provider,compare
compare patients with Cigna based on insurance provider,compare
patients diagnosed with routine,filter
billing trend for hypertension,trend
find all Blue Cross patients,filter
average billing amount by blood type,aggregate
average age grouped by test result,aggregate
average age grouped by insurance provider,aggregate
show trend of A- cases,trend
list emergency cases,filter
show trend of Ibuprofen cases,trend
show average billing for medication patients,aggregate
compare hypertension patients based on their medical condition,compare
compare Blue Cross patients grouped by hospital,compare
list asthma cases,filter
average age grouped by admission type,aggregate
average billing amount by hospital,aggregate
number of male patients,count
list Ibuprofen cases,filter
list UnitedHealth cases,filter
number of routine patients,count
average billing amount by medical condition,aggregate
trend of patient admissions,trend
count positive cases,count
count AB+ cases,count
average age grouped by test result,aggregate
count Metformin cases,count
how many AB- patients,count
number of Insulin patients,count
compare patients with female based on gender,compare
trend of patient admissions,trend
average billing amount by admission type,aggregate
patients diagnosed with AB+,filter
show B- patients,filter
average billing amount by admission type,aggregate
show A- patients,filter
compare B+ cases by test result,compare
show patients with covid,filter
trend of patient admissions,trend
trend of patient admissions,trend
billing trend for Insulin,trend
trend of patient admissions,trend
show patients with negative,filter
average billing amount by medical condition,aggregate
show trend of O- cases,trend
average age grouped by test result,aggregate
patients diagnosed with negative,filter
find all female patients,filter
how many B- patients,count
show referral patients,filter
find all arthritis patients,filter
average age grouped by gender,aggregate
find all Aetna patients,filter
list diabetes cases,filter
show trend of Ibuprofen cases,trend
patients diagnosed with flu,filter
show trend of A+ cases,trend
find all B+ patients,filter
show trend of Aetna cases,trend
average billing amount by insurance provider,aggregate
patients diagnosed with Aetna,filter
count diabetes cases,count
show patients with hypertension,filter
show average billing for test result patients,aggregate
patients diagnosed with routine,filter
show trend of Cigna cases,trend
average billing amount by hospital,aggregate
show average billing for insurance provider patients,aggregate
compare asthma patients grouped by medication,compare
show average billing for hospital patients,aggregate
compare emergency patients based on their admission type,compare
how many O+ patients,count
compare arthritis cases by medical condition,compare
billing trend for AB-,trend
compare O+ patients based on their admission type,compare
average age grouped by insurance provider,aggregate
compare Metformin cases by hospital,compare
trend of patient admissions,trend
compare Aspirin patients based on blood type,compare
compare patients with Aspirin based on insurance provider,compare
list O+ cases,filter
find all hypertension patients,filter
average billing amount by blood type,aggregate
compare Aetna patients based on their medication,compare
show negative patients,filter
compare arthritis patients grouped by blood type,compare
compare Cigna cases by medical condition,compare
compare O+ patients based on their medical condition,compare
compare patients with Aspirin based on insurance provider,compare
compare Metformin patients grouped by hospital,compare
find all hypertension patients,filter
list positive cases,filter
how many arthritis patients,count
count Blue Cross cases,count
compare patients with AB- based on medication,compare
average age grouped by insurance provider,aggregate
average billing amount by medical condition,aggregate
trend of patient admissions,trend
find all arthritis patients,filter
compare UnitedHealth patients based on their test result,compare
billing trend for A+,trend
show trend of hypertension cases,trend
average age grouped by insurance provider,aggregate
average age grouped by insurance provider,aggregate
show patients with UnitedHealth,filter
average billing amount by medication,aggregate
count AB- cases,count
number of hypertension patients,count
list Metformin cases,filter
show trend of Metformin cases,trend
compare emergency patients based on their blood type,compare
compare Cigna patients grouped by test result,compare
how many female patients,count
show Cigna patients,filter
count AB- cases,count
compare patients with negative based on insurance provider,compare
find all arthritis patients,filter
count Metformin cases,count
compare AB+ patients grouped by gender,compare
average billing amount by blood type,aggregate
show male patients,filter
compare patients with female based on test result,compare
average age grouped by insurance provider,aggregate
find all Cigna patients,filter
count flu cases,count
patients diagnosed with Metformin,filter
average age grouped by hospital,aggregate
show average billing for gender patients,aggregate
show average billing for admission type patients,aggregate
how many A- patients,count
find all O+ patients,filter
show average billing for gender patients,aggregate
compare B- patients based on their blood type,compare
average billing amount by admission type,aggregate
show O+ patients,filter
show trend of covid cases,trend
show patients with diabetes,filter
billing trend for female,trend
show average billing for medical condition patients,aggregate
show trend of B- cases,trend
compare Blue Cross patients based on test result,compare
show trend of O+ cases,trend
show trend of Blue Cross cases,trend
show trend of positive cases,trend
average billing amount by gender,aggregate
show patients with Aetna,filter
compare hypertension patients based on hospital,compare
compare positive cases by admission type,compare
billing trend for hypertension,trend
compare A- patients based on their medical condition,compare
average age grouped by hospital,aggregate
count arthritis cases,count
show average billing for blood type patients,aggregate
number of referral patients,count
compare patients with flu based on hospital,compare
average age grouped by blood type,aggregate
compare Aspirin cases by medical condition,compare
how many Aetna patients,count
show average billing for insurance provider patients,aggregate
number of Metformin patients,count
show arthritis patients,filter
list referral cases,filter
find all UnitedHealth patients,filter
compare Insulin patients based on hospital,compare
compare routine patients based on their medication,compare
number of covid patients,count
show trend of B+ cases,trend
show trend of A+ cases,trend
compare patients with negative based on hospital,compare
compare hypertension patients based on their blood type,compare
average billing amount by admission type,aggregate
trend of patient admissions,trend
average billing amount by admission type,aggregate
how many hypertension patients,count
count Aetna cases,count
number of B- patients,count
find all Insulin patients,filter
billing trend for female,trend
count positive cases,count
find all diabetes patients,filter
number of B+ patients,count
trend of patient admissions,trend
show average billing for medical condition patients,aggregate
compare male cases by admission type,compare
show average billing for test result patients,aggregate
compare female cases by test result,compare
how many A+ patients,count
count Ibuprofen cases,count
how many diabetes patients,count
compare positive patients based on medical condition,compare
average billing amount by insurance provider,aggregate
average billing amount by insurance provider,aggregate
compare Blue Cross patients grouped by test result,compare
find all Blue Cross patients,filter
compare asthma patients based on their hospital,compare
show trend of hypertension cases,trend
count Aetna cases,count
count arthritis cases,count
show patients with AB+,filter
number of AB+ patients,count
compare Blue Cross cases by insurance provider,compare
list asthma cases,filter
show average billing for gender patients,aggregate
average billing amount by medication,aggregate
show patients with O-,filter
show average billing for medical condition patients,aggregate
show trend of hypertension cases,trend
compare referral patients based on their gender,compare
average billing amount by medication,aggregate
compare Aetna patients based on insurance provider,compare
trend of patient admissions,trend
show trend of negative cases,trend
compare positive patients based on medication,compare
patients diagnosed with referral,filter
compare covid patients grouped by medical condition,compare
patients diagnosed with negative,filter
count diabetes cases,count
count A- cases,count
show patients with Insulin,filter
list AB- cases,filter
list routine cases,filter
patients diagnosed with A-,filter
billing trend for Blue Cross,trend
compare patients with O+ based on admission type,compare
average age grouped by insurance provider,aggregate
compare patients with flu based on medical condition,compare
trend of patient admissions,trend
trend of patient admissions,trend
trend of patient admissions,trend
number of negative patients,count
number of A+ patients,count
compare diabetes patients based on their hospital,compare
number of asthma patients,count
show trend of routine cases,trend
show patients with B-,filter
number of AB- patients,count
count positive cases,count
compare B- patients based on their medication,compare
trend of patient admissions,trend
compare patients with A+ based on hospital,compare
find all B- patients,filter
average billing amount by test result,aggregate
average age grouped by medication,aggregate
compare asthma patients based on medication,compare
show trend of AB- cases,trend
billing trend for referral,trend
find all referral patients,filter
billing trend for AB+,trend
billing trend for A-,trend
list Cigna cases,filter
number of AB+ patients,count
count negative cases,count
compare O- patients grouped by medical condition,compare
average age grouped by admission type,aggregate
list A- cases,filter
show trend of referral cases,trend
count male cases,count
how many diabetes patients,count
list O+ cases,filter
list Insulin cases,filter
how many emergency patients,count
compare emergency patients grouped by medication,compare
how many Aetna patients,count
average age grouped by insurance provider,aggregate
show average billing for hospital patients,aggregate
compare covid patients based on medical condition,compare
compare negative patients grouped by hospital,compare
number of A- patients,count
show patients with Cigna,filter
patients diagnosed with diabetes,filter
find all positive patients,filter
trend of patient admissions,trend
trend of patient admissions,trend
average age grouped by medication,aggregate
show O+ patients,filter
show trend of AB- cases,trend
how many positive patients,count
show patients with male,filter
compare male cases by hospital,compare
show trend of emergency cases,trend
number of positive patients,count
trend of patient admissions,trend
average billing amount by medication,aggregate
average billing amount by admission type,aggregate
show AB- patients,filter
show patients with Aspirin,filter
patients diagnosed with referral,filter
show trend of negative cases,trend
show trend of hypertension cases,trend
how many diabetes patients,count
billing trend for A+,trend
find all Metformin patients,filter
list arthritis cases,filter
compare Ibuprofen patients grouped by medical condition,compare
find all Aspirin patients,filter
show patients with diabetes,filter
compare hypertension patients based on their medical condition,compare
billing trend for arthritis,trend
compare patients with negative based on test result,compare
trend of patient admissions,trend
show average billing for test result patients,aggregate
compare Aspirin patients based on insurance provider,compare
count B- cases,count
how many Aspirin patients,count
compare routine cases by gender,compare
show average billing for test result patients,aggregate
show trend of Cigna cases,trend
average age grouped by gender,aggregate
compare patients with Insulin based on medical condition,compare
average age grouped by medication,aggregate
number of referral patients,count
average age grouped by gender,aggregate
list Aspirin cases,filter
how many Ibuprofen patients,count
average age grouped by blood type,aggregate
compare patients with emergency based on gender,compare
average billing amount by insurance provider,aggregate
average billing amount by blood type,aggregate
find all positive patients,filter
show trend of O- cases,trend
how many Blue Cross patients,count
billing trend for Ibuprofen,trend
average billing amount by insurance provider,aggregate
show trend of B- cases,trend
show trend of Aspirin cases,trend
number of diabetes patients,count
show average billing for medication patients,aggregate
show referral patients,filter
compare patients with emergency based on test result,compare
billing trend for diabetes,trend
compare A+ patients grouped by blood type,compare
billing trend for B-,trend
find all diabetes patients,filter
billing trend for B-,trend
average age grouped by medication,aggregate
compare AB- patients based on medical condition,compare
average age grouped by test result,aggregate
show average billing for insurance provider patients,aggregate
how many Metformin patients,count
list arthritis cases,filter
how many O- patients,count
compare A+ patients grouped by gender,compare
patients diagnosed with hypertension,filter
average billing amount by admission type,aggregate
billing trend for female,trend
number of hypertension patients,count
list B- cases,filter
list arthritis cases,filter
average billing amount by medical condition,aggregate
list AB+ cases,filter
billing trend for diabetes,trend
compare patients with Cigna based on hospital,compare
show average billing for hospital patients,aggregate
count O+ cases,count
patients diagnosed with male,filter
show average billing for gender patients,aggregate
find all A+ patients,filter
count diabetes cases,count
show trend of negative cases,trend
trend of patient admissions,trend
average age grouped by test result,aggregate
compare AB- patients based on gender,compare
number of routine patients,count
count B- cases,count
show trend of Insulin cases,trend
show trend of asthma cases,trend
compare patients with Ibuprofen based on blood type,compare
billing trend for asthma,trend
find all Metformin patients,filter
compare Aspirin cases by medication,compare
list Ibuprofen cases,filter
billing trend for B-,trend
billing trend for Aetna,trend
billing trend for diabetes,trend
average billing amount by admission type,aggregate
count B- cases,count
how many diabetes patients,count
count A- cases,count
average billing amount by gender,aggregate
average billing amount by blood type,aggregate
average age grouped by test result,aggregate
show average billing for medication patients,aggregate
how many AB- patients,count
compare Metformin patients based on blood type,compare
show patients with female,filter
patients diagnosed with Ibuprofen,filter
average age grouped by medical condition,aggregate
how many Cigna patients,count
average billing amount by insurance provider,aggregate
show trend of female cases,trend
find all UnitedHealth patients,filter
billing trend for O-,trend
compare A- cases by hospital,compare
show average billing for insurance provider patients,aggregate
compare AB- patients based on insurance provider,compare
show patients with male,filter
show trend of asthma cases,trend
average age grouped by blood type,aggregate
compare B- patients based on their admission type,compare
show trend of Insulin cases,trend
count referral cases,count
how many arthritis patients,count
compare A+ patients based on their blood type,compare
show male patients,filter
billing trend for Aspirin,trend
billing trend for arthritis,trend
show patients with Metformin,filter
compare hypertension cases by medication,compare
trend of patient admissions,trend
show B- patients,filter
show average billing for admission type patients,aggregate
average age grouped by medical condition,aggregate
compare arthritis patients based on gender,compare
show trend of Aetna cases,trend
compare AB- patients based on medical condition,compare
number of arthritis patients,count
number of O- patients,count
how many Blue Cross patients,count
how many Insulin patients,count
compare referral cases by blood type,compare
number of A- patients,count
trend of patient admissions,trend
average billing amount by test result,aggregate
number of Blue Cross patients,count
show average billing for blood type patients,aggregate
billing trend for asthma,trend
trend of patient admissions,trend
trend of patient admissions,trend
compare B+ cases by medical condition,compare
show Ibuprofen patients,filter
number of female patients,count
show trend of emergency cases,trend
how many arthritis patients,count
how many O- patients,count
number of female patients,count
average age grouped by test result,aggregate
number of positive patients,count
compare Cigna patients grouped by blood type,compare
show average billing for blood type patients,aggregate
find all covid patients,filter
average billing amount by hospital,aggregate
compare O+ patients based on their gender,compare
show trend of Insulin cases,trend
show hypertension patients,filter
show covid patients,filter
trend of patient admissions,trend
how many arthritis patients,count
trend of patient admissions,trend
show average billing for insurance provider patients,aggregate
compare patients with referral based on insurance provider,compare
compare AB- patients based on insurance provider,compare
compare AB- cases by medication,compare
count male cases,count
show O+ patients,filter
compare Metformin patients grouped by insurance provider,compare
show trend of Aspirin cases,trend
compare hypertension patients based on their blood type,compare
average billing amount by admission type,aggregate
billing trend for asthma,trend
show trend of B- cases,trend
how many diabetes patients,count
average age grouped by insurance provider,aggregate
billing trend for Blue Cross,trend
show trend of female cases,trend
show average billing for medication patients,aggregate
how many Blue Cross patients,count
trend of patient admissions,trend
show patients with A-,filter
show average billing for admission type patients,aggregate
how many positive patients,count
number of Metformin patients,count
show average billing for test result patients,aggregate
patients diagnosed with covid,filter
how many referral patients,count
compare patients with covid based on medication,compare
trend of patient admissions,trend
compare patients with Aetna based on gender,compare
compare O+ patients grouped by test result,compare
patients diagnosed with negative,filter
trend of patient admissions,trend
show patients with emergency,filter
trend of patient admissions,trend
patients diagnosed with UnitedHealth,filter
how many asthma patients,count
number of emergency patients,count
show trend of negative cases,trend
list O+ cases,filter
compare AB+ patients based on their medication,compare
patients diagnosed with positive,filter
billing trend for A+,trend
show trend of O- cases,trend
show trend of male cases,trend
find all O- patients,filter
average billing amount by admission type,aggregate
trend of patient admissions,trend
number of Aspirin patients,count
billing trend for arthritis,trend
count male cases,count
compare Metformin cases by blood type,compare
find all UnitedHealth patients,filter
average age grouped by hospital,aggregate
average age grouped by test result,aggregate
show trend of A+ cases,trend
average billing amount by medical condition,aggregate
show trend of female cases,trend
trend of patient admissions,trend
show average billing for medical condition patients,aggregate
average billing amount by medical condition,aggregate
patients diagnosed with male,filter
patients diagnosed with diabetes,filter
how many AB- patients,count
show patients with asthma,filter
average age grouped by test result,aggregate
list female cases,filter
average billing amount by medical condition,aggregate
show Insulin patients,filter
compare arthritis patients based on their insurance provider,compare
show O- patients,filter
count Aspirin cases,count
number of covid patients,count
list arthritis cases,filter
count routine cases,count
compare patients with hypertension based on hospital,compare
trend of patient admissions,trend
number of Ibuprofen patients,count
list A+ cases,filter
show trend of negative cases,trend
how many flu patients,count
average age grouped by test result,aggregate
compare Insulin patients based on blood type,compare
find all routine patients,filter
average billing amount by hospital,aggregate
average billing amount by test result,aggregate
number of O- patients,count
compare referral patients grouped by insurance provider,compare
how many AB- patients,count
trend of patient admissions,trend
compare A- patients based on their gender,compare
find all O- patients,filter
show average billing for medical condition patients,aggregate
show average billing for insurance provider patients,aggregate
trend of patient admissions,trend
show patients with AB-,filter
average billing amount by insurance provider,aggregate
list Aspirin cases,filter
patients diagnosed with negative,filter
compare Cigna patients grouped by test result,compare
average age grouped by test result,aggregate
show average billing for gender patients,aggregate
compare routine patients based on gender,compare
billing trend for hypertension,trend
number of AB+ patients,count
trend of patient admissions,trend
number of B- patients,count
patients diagnosed with routine,filter
list Insulin cases,filter
show trend of B+ cases,trend
number of routine patients,count
billing trend for male,trend
list female cases,filter
compare arthritis cases by admission type,compare
average billing amount by insurance provider,aggregate
show patients with AB+,filter
compare negative patients based on insurance provider,compare
average age grouped by insurance provider,aggregate
compare O+ patients grouped by blood type,compare
show trend of positive cases,trend
trend of patient admissions,trend
patients diagnosed with hypertension,filter
show arthritis patients,filter
average billing amount by medication,aggregate
billing trend for female,trend
average age grouped by medical condition,aggregate
show trend of positive cases,trend
show patients with O+,filter
number of Metformin patients,count
find all hypertension patients,filter
compare Cigna cases by insurance provider,compare
count B+ cases,count
compare A- patients grouped by admission type,compare
compare Blue Cross cases by test result,compare
trend of patient admissions,trend
show average billing for insurance provider patients,aggregate
list UnitedHealth cases,filter
average billing amount by insurance provider,aggregate
average age grouped by admission type,aggregate
list flu cases,filter
show trend of Aetna cases,trend
billing trend for male,trend
patients diagnosed with male,filter
show trend of Ibuprofen cases,trend
find all Insulin patients,filter
average billing amount by gender,aggregate
billing trend for diabetes,trend
compare AB+ patients based on their medication,compare
compare Metformin cases by test result,compare
show emergency patients,filter
trend of patient admissions,trend
compare referral patients grouped by medical condition,compare
find all flu patients,filter
show patients with AB-,filter
show patients with UnitedHealth,filter
number of B+ patients,count
number of Blue Cross patients,count
count B+ cases,count
trend of patient admissions,trend
show average billing for admission type patients,aggregate
trend of patient admissions,trend
how many emergency patients,count
show trend of covid cases,trend
show patients with Metformin,filter
average age grouped by insurance provider,aggregate
compare patients with UnitedHealth based on test result,compare
show trend of A+ cases,trend
average billing amount by insurance provider,aggregate
patients diagnosed with Blue Cross,filter
count covid cases,count
patients diagnosed with Insulin,filter
compare patients with A+ based on medication,compare
number of UnitedHealth patients,count
trend of patient admissions,trend
show average billing for medication patients,aggregate
compare Cigna cases by test result,compare
show Metformin patients,filter
compare referral patients grouped by gender,compare
billing trend for referral,trend
compare B- patients grouped by test result,compare
find all male patients,filter
compare hypertension cases by medication,compare
billing trend for Aspirin,trend
list negative cases,filter
show trend of Blue Cross cases,trend
patients diagnosed with emergency,filter
show Aetna patients,filter
billing trend for Aspirin,trend
count O- cases,count
patients diagnosed with referral,filter
trend of patient admissions,trend
compare B+ patients grouped by gender,compare
how many Metformin patients,count
find all Insulin patients,filter
number of Aspirin patients,count
number of male patients,count
compare patients with A- based on medical condition,compare
average age grouped by medication,aggregate
billing trend for Ibuprofen,trend
show average billing for insurance provider patients,aggregate
average age grouped by medication,aggregate
number of Aspirin patients,count
count O- cases,count
patients diagnosed with Blue Cross,filter
billing trend for hypertension,trend
count positive cases,count
billing trend for diabetes,trend
billing trend for emergency,trend
billing trend for Aspirin,trend
patients diagnosed with A+,filter
average age grouped by test result,aggregate
trend of patient admissions,trend
average billing amount by insurance provider,aggregate
show male patients,filter
average age grouped by hospital,aggregate
number of positive patients,count
billing trend for Insulin,trend
how many arthritis patients,count
billing trend for O+,trend
show patients with Metformin,filter
average age grouped by blood type,aggregate
show patients with Blue Cross,filter
average billing amount by medical condition,aggregate
compare UnitedHealth patients based on their admission type,compare
compare O+ patients based on medical condition,compare
compare diabetes patients based on their medication,compare
show average billing for gender patients,aggregate
compare Aetna cases by insurance provider,compare
compare O- patients based on their test result,compare
show trend of asthma cases,trend
average age grouped by gender,aggregate
list asthma cases,filter
trend of patient admissions,trend
how many B- patients,count
find all O- patients,filter
average billing amount by blood type,aggregate
number of B+ patients,count
how many hypertension patients,count
compare patients with referral based on blood type,compare
count Cigna cases,count
show average billing for hospital patients,aggregate
compare patients with negative based on insurance provider,compare
show female patients,filter
billing trend for flu,trend
compare B- patients based on their gender,compare
compare flu cases by gender,compare
show trend of asthma cases,trend
compare AB+ cases by admission type,compare
show hypertension patients,filter
show patients with arthritis,filter
how many negative patients,count
number of O+ patients,count
find all referral patients,filter
number of Cigna patients,count
show average billing for test result patients,aggregate
how many male patients,count
how many Aspirin patients,count
count asthma cases,count
count O- cases,count
show average billing for hospital patients,aggregate
trend of patient admissions,trend
show trend of Blue Cross cases,trend
"Retrieve all patient entries that match heart failure, apply outlier detection, and format the response for downstream analytics.",trend
"From the EMR data, identify correlations between heart rate, oxygen saturation, and Type 2 diabetes, then output insights with predicted risks.",compare
"Given patient records with creatinine and oxygen saturation, generate a summary of trend analysis over the last 30 days and detect anomalies related to hypertension.",aggregate
"From the EMR data, identify correlations between cholesterol, A1C levels, and acute renal failure, then output insights with predicted risks.",compare
"Retrieve all patient entries that match COPD, apply risk scoring, and format the response for downstream analytics.",compare
"Using aggregated hospital datasets, compute statistical aggregation for patients with acute renal failure and compare trends between 1 year and 6 months.",count
"Given patient records with A1C levels and A1C levels, generate a summary of multi‑variable comparison over the last 90 days and detect anomalies related to post‑operative infection.",count
"Given patient records with blood pressure and creatinine, generate a summary of statistical aggregation over the last 1 year and detect anomalies related to hypertension.",count
"Using aggregated hospital datasets, compute multi‑variable comparison for patients with heart failure and compare trends between 14 days and 6 months.",compare
"Using aggregated hospital datasets, compute outlier detection for patients with Type 2 diabetes and compare trends between 7 days and 90 days.",count
"Retrieve all patient entries that match post‑operative infection, apply outlier detection, and format the response for downstream analytics.",filter
Analyze time‑series data for acute renal failure patients by applying risk scoring and return structured results.,trend
"Retrieve all patient entries that match Type 2 diabetes, apply outlier detection, and format the response for downstream analytics.",filter
"Retrieve all patient entries that match heart failure, apply statistical aggregation, and format the response for downstream analytics.",count
